# Neural Monitor Data - Updated: 2025-07-17 11:50:07
# Format: [device_id],[serial],[model],[channel_id],[state],[transitions],[active]

CHANNEL,15,A15,0,0,258,0
CHANNEL,17,B1,0,48,10332,100
CHANNEL,19,B3,0,0,24,0
CHANNEL,29,B13,0,0,84,0
CHANNEL,30,B14,0,0,1188,75
CHANNEL,31,B15,0,0,504,75

DEVICE,8,HT1008,DSO2090,1

DEVICE,9,HT1009,DSO2150,608
CHANNEL,0,A0,0,0,5,0
CHANNEL,1,A1,0,3792,2260038,100
CHANNEL,2,A2,0,0,30,0
CHANNEL,3,A3,0,2532,1614804,100
CHANNEL,4,A4,0,0,30,0
CHANNEL,5,A5,0,0,30,0
CHANNEL,6,A6,0,0,30,0
CHANNEL,7,A7,0,504,287286,100
CHANNEL,8,A8,0,0,30,0
CHANNEL,9,A9,0,0,30,0
CHANNEL,10,A10,0,0,30,0
CHANNEL,11,A11,0,0,30,0
CHANNEL,12,A12,0,0,30,0
CHANNEL,13,A13,0,0,30,0
CHANNEL,14,A14,0,0,30,0
CHANNEL,15,A15,0,0,30,0

