# Time-sliced neural activity data
# Format:device_id,channel_id,slice0_activity,slice1_activity,slice2_activity,slice3_activity,slice4_activity,slice0_phase,slice1_phase,slice2_phase,slice3_phase,slice4_phase
1,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
1,10,0.0,0.0,0.0,0.1,0.4,-999.00,-999.00,-999.00,13.83,51.33
1,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
2,0,0.1,0.2,0.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00
2,1,0.1,0.8,0.4,0.0,0.0,0.00,117.15,93.79,-999.00,-999.00
2,2,0.0,0.2,0.1,0.0,0.0,82.79,53.66,52.08,-999.00,-999.00
2,3,0.1,0.9,0.4,0.0,0.0,0.00,117.15,109.42,-999.00,-999.00
2,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
2,5,0.1,0.9,0.4,0.0,0.0,0.00,117.15,65.37,-999.00,-999.00
2,6,0.1,0.4,0.2,0.0,0.0,0.00,78.14,0.00,-999.00,-999.00
2,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
2,8,0.1,0.3,0.1,0.0,0.0,0.00,62.51,0.00,-999.00,-999.00
2,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
2,10,0.1,0.3,0.1,0.0,0.0,0.00,70.33,0.00,-999.00,-999.00
2,11,0.1,0.9,0.4,0.0,0.0,0.00,109.34,65.37,-999.00,-999.00
3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
3,1,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,2,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,3,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,4,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,5,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,6,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,7,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,8,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,9,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,10,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
3,11,0.0,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
4,1,0.8,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,2,0.3,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
4,3,0.4,0.0,0.0,0.0,0.0,-999.00,-999.00,-999.00,-999.00,-999.00
